author;date;genre;wikipedia;title;img;Musee;Type
Georges Seurat;1859 – 1891;Post-Impressionism;https://en.wikipedia.org/wiki/Georges_Seurat;Overgrown slope;https://upload.wikimedia.org/wikipedia/commons/9/9e/Georges_Seurat_010.jpg;Dallas Museum of Art;Tableau
Georges Seurat;1859 – 1891;Post-Impressionism;https://en.wikipedia.org/wiki/Georges_Seurat;The Suburbs;https://upload.wikimedia.org/wikipedia/commons/5/53/Georges_Seurat_007.jpg;Musée d'art moderne de Troyes;Tableau
Georges Seurat;1859 – 1891;Post-Impressionism;https://en.wikipedia.org/wiki/Georges_Seurat;Fishing in The Seine;https://upload.wikimedia.org/wikipedia/commons/1/11/Seurat_Pescatori.jpg;;Tableau
Georges Seurat;1859 – 1891;Post-Impressionism;https://en.wikipedia.org/wiki/Georges_Seurat;The Laborers;https://upload.wikimedia.org/wikipedia/commons/3/39/Georges_Seurat_048.jpg;National Gallery of Art;Tableau
Georges Seurat;1859 – 1891;Post-Impressionism;https://en.wikipedia.org/wiki/Georges_Seurat;Study for A Sunday Afternoon on the Island of La Grande Jatte;https://upload.wikimedia.org/wikipedia/commons/1/18/Georges_Seurat_034.jpg;Metropolitan Museum of Art;Tableau
Georges Seurat;1859 – 1891;Post-Impressionism;https://en.wikipedia.org/wiki/Georges_Seurat;View of Fort Samson;https://upload.wikimedia.org/wikipedia/commons/5/5d/Georges_Seurat_-_View_of_Fort_Samson.jpg;Hermitage Museum;Tableau
Georges Seurat;1859 – 1891;Post-Impressionism;https://en.wikipedia.org/wiki/Georges_Seurat;ModelsLes Poseuses;https://upload.wikimedia.org/wikipedia/commons/1/19/Georges_Seurat_-_Les_Poseuses.jpg;Barnes Foundation;Tableau
Marc Chagall;1887 - 1985;Primitivism;http://en.wikipedia.org/wiki/Marc_Chagall;I and the Village;https://upload.wikimedia.org/wikipedia/en/d/d1/Marc_Chagall%2C_1911%2C_I_and_the_Village%2C_oil_on_canvas%2C_192.1_x_151.4_cm%2C_Museum_of_Modern_Art%2C_New_York.jpg;Museum of Modern Art;Tableau
Marc Chagall;1887 - 1985;Primitivism;http://en.wikipedia.org/wiki/Marc_Chagall;The Holy Coachman;https://upload.wikimedia.org/wikipedia/en/3/34/Marc_Chagall%2C_1911-12%2C_Le_saint_voiturier_%28The_Holy_Coachman%29%2C_oil_on_canvas%2C_148_x_117.5_cm%2C_private_collection.jpg;;Tableau
Marc Chagall;1887 - 1985;Primitivism;http://en.wikipedia.org/wiki/Marc_Chagall;The gates of the cemetery;https://upload.wikimedia.org/wikipedia/commons/2/23/%22The_Cemetery_Gates%22%2C_Marc_Chagall_%281917%29_Mus%C3%A9e_d%27art_et_d%27histoire_du_Juda%C3%AFsme.jpg;;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;A Carnival Evening;https://upload.wikimedia.org/wikipedia/commons/2/2b/Henri_Rousseau_-_A_Carnival_Evening.jpg;Philadelphia Museum of Art;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;Self Portrait;https://upload.wikimedia.org/wikipedia/commons/4/40/Henri_Rousseau_-_Myself-_Portrait_%E2%80%93_Landscape_-_Google_Art_Project.jpg;;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;Le Moulin (The Mill);https://upload.wikimedia.org/wikipedia/commons/b/be/Henri_Rousseau_-_Le_Moulin.jpg;Musée Maillol;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;Boy on the Rocks;https://upload.wikimedia.org/wikipedia/commons/9/9c/Boy_on_the_Rocks_-_1895-7_-_Henri_Rousseau.jpg;National Gallery of Art;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;The Sleeping Gypsy;https://upload.wikimedia.org/wikipedia/commons/0/06/La_Boh%C3%A9mienne_endormie.jpg;MoMA;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;La tour Eiffel peinte par Henri Rousseau;https://upload.wikimedia.org/wikipedia/commons/e/e8/Douanier_Rousseau_tour_Eiffel.jpg;Houston Museum of Fine Arts;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;Self-portrait of the Artist with a Lamp;https://upload.wikimedia.org/wikipedia/commons/f/fc/Henri_Rousseau_-_Self-portrait_of_the_Artist_with_a_Lamp.jpg;;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;The Flamingoes;https://upload.wikimedia.org/wikipedia/commons/b/b9/Henri_Rousseau_-_The_Flamingoes.jpg;;Tableau
