titre;type;mouvement;auteur;musee;startdate;endate;;;
Les Passants;Tableau;Suprematism;Paul Cezanne;Centre culturel de Serbie;2021-06-18T11:30:00+02:00;2021-08-31T19:30:00+02:00;;;
Galerie Itinerrance;;Street-art;;Galerie Itinerrance;2020-12-12T12:00:00+01:00;2021-12-31T19:00:00+01:00;;;
« Remasks »: exposition;Photographie;contemporain;;berges de la Seine: guinguette du Port;2021-08-20T10:00:00+02:00;2021-08-31T22:00:00+02:00;;;
Henri Cartier-Bresson - Revoir Paris;;Histoire;;Musée Carnavalet - Histoire de Paris;2021-06-15T10:00:00+02:00;2021-10-31T18:00:00+01:00;;;
WANG BING - L’OEIL QUI MARCHE;Photographie;contemporain;;Le BAL;2021-05-26T12:00:00+02:00;2021-10-03T19:00:00+02:00;;;
Marché de l'illustration impertinente n°4;;Illustration;;Le Hasard Ludique;2021-10-02T12:00:00+02:00;2021-10-03T20:00:00+02:00;;;
10099KM exposition de photographies de Chun Hua Wu;Photographie;contemporain;;Jardin du Luxembourg;2021-08-27T11:00:00+02:00;2021-09-07T19:00:00+02:00;;;
Musées dessinés: une exposition de Christelle Téa;Tableau;Art Contemporain;;Musée Cognacq-Jay;2021-09-09T10:00:00+02:00;2022-01-02T18:00:00+01:00;;;
Atelier dessin;;Illustration;;Bibliothèque Aimé Césaire;2021-08-25T14:00:00+02:00;2021-08-25T16:00:00+02:00;;;
DAMIEN HIRST: CERISIERS EN FLEURS;;Histoire;;Fondation Cartier pour l'art contemporain;2021-07-06T11:00:00+02:00;2022-01-02T20:00:00+01:00;;;
Ce qui s'oublie et ce qui reste;Tableau;Art Contemporain;;Palais de la Porte Dorée - Musée de l'histoire de l'immigration / Aquarium tropical;2021-06-01T10:00:00+02:00;2021-08-29T19:00:00+02:00;;;
L'HEURE BLEUE - PEDER SEVERIN KRØYER;Tableau;Surrealism;Georges Seurat;Musée Marmottan Monet;2021-05-19T10:00:00+02:00;2021-09-26T18:00:00+02:00;;;
L'HEURE BLEUE - PEDER SEVERIN KRØYER;Tableau;Surrealism;Paul Cezanne;Musée Marmottan Monet;2021-05-19T10:00:00+02:00;2021-09-26T18:00:00+02:00;;;
L'HEURE BLEUE - PEDER SEVERIN KRØYER;Tableau;Surrealism;El Greco;Musée Marmottan Monet;2021-05-19T10:00:00+02:00;2021-09-26T18:00:00+02:00;;;
Exposition « Rêves éveillés » — HAO Shuo;Tableau;Art Contemporain;;La Galerie du Génie de la Bastille;2021-08-31T14:00:00+02:00;2021-09-05T20:00:00+02:00;;;
